fridge_slug,model_number,mapped_filter_slugs,classification,evidence_paths,blockers,recommended_action
frigidaire-cfse2333tb,CFSE2333TB,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-crss2623as,CRSS2623AS,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2740lb,FFHB2740LB,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2740pe,FFHB2740PE,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2740ps,FFHB2740PS,ultrawf,PROVEN_CORRECT,data/manual-evidence/refrigerator/frigidaire-ffhb2740ps.json,,Safe for factory scaling subject to page quality gate and buy-path gates.
frigidaire-ffhb2740ps2,FFHB2740PS2,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2740ps3,FFHB2740PS3,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2740ps4,FFHB2740PS4,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2740ps5,FFHB2740PS5,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2740td,FFHB2740TD,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2740td2,FFHB2740TD2,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2740tw,FFHB2740TW,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2750td,FFHB2750TD,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2750te,FFHB2750TE,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2750ts,FFHB2750TS,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2750ts2,FFHB2750TS2,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2750tw,FFHB2750TW,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2750us,FFHB2750US,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhb2860ts,FFHB2860TS,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhd2250te,FFHD2250TE,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhd2250ts,FFHD2250TS,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhd2250tw,FFHD2250TW,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhn2740pe,FFHN2740PE,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhn2740ps,FFHN2740PS,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffhn2740tw,FFHN2740TW,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffht1621qs,FFHT1621QS,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffht1821qs,FFHT1821QS,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffht2021qs,FFHT2021QS,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffsc2323ts,FFSC2323TS,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffsc2323tw,FFSC2323TW,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2315ts,FFSS2315TS,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2515ts,FFSS2515TS,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615lb,FFSS2615LB,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615lb2,FFSS2615LB2,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615ps,FFSS2615PS,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615td,FFSS2615TD,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615te,FFSS2615TE,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615te2,FFSS2615TE2,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615ts,FFSS2615TS,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615ts2,FFSS2615TS2,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615ts3,FFSS2615TS3,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615ts4,FFSS2615TS4,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615tw,FFSS2615TW,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2615tw2,FFSS2615TW2,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-ffss2625ts,FFSS2625TS,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2866lf,FGHB2866LF,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2866pe,FGHB2866PE,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2866pf,FGHB2866PF,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2866pf2,FGHB2866PF2,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2866ps,FGHB2866PS,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2868lf,FGHB2868LF,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2868pe,FGHB2868PE,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2868pe2,FGHB2868PE2,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2868pf,FGHB2868PF,eptwfu01,PROVEN_CORRECT,data/manual-evidence/refrigerator/frigidaire-fghb2868pf.json,,Safe for factory scaling subject to page quality gate and buy-path gates.
frigidaire-fghb2868pf2,FGHB2868PF2,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2868pf3,FGHB2868PF3,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2868pf4,FGHB2868PF4,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2868pf5,FGHB2868PF5,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2868ps,FGHB2868PS,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghb2868td,FGHB2868TD,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
