rank,project,expected_impact,effort,impact_div_effort,primary_business_outcome
1,"Revenue truth ledger import","Very High","Medium","Very High","Know which pages, parts, retailers, and channels actually make money."
2,"Valid CTA expansion sprint","Very High","Medium","Very High","Turn useful pages into monetizable pages, starting with refrigerator."
3,"Affiliate approval sprint","High","Medium","High","Increase retailer options, commissions, and buyer confidence."
4,"GSC/GA4/rank/index freshness board","High","Low","Very High","Make current market truth visible daily."
5,"Refrigerator high-intent SEO pack","Very High","High","High","Improve rankings and revenue for the strongest proven wedge."
6,"Commercial confidence module","High","Medium","High","Increase buyer confidence at the moment of outbound click."
7,"My Home Filters v1","Very High","High","High","Create repeat usage, reminders, and direct traffic."
8,"AI answer readiness pack","High","Medium","High","Make BuckParts citeable by AI search and answer engines."
9,"CEO dashboard simplification","Medium","Low","High","Reduce founder drag and focus decisions on business truth."
10,"Proprietary truth graph browser","Very High","High","High","Build the long-term moat around compatibility evidence."

